[0.000000] (-) TimerEvent: {}
[0.000581] (-) JobUnselected: {'identifier': 'lekiwi_servo_control'}
[0.000616] (-) JobUnselected: {'identifier': 'omni_teleop'}
[0.000638] (-) JobUnselected: {'identifier': 'three_omni_plugin'}
[0.000659] (lekiwi_description) JobQueued: {'identifier': 'lekiwi_description', 'dependencies': OrderedDict()}
[0.221171] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf\n'}
[0.221255] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/LeKiwi.urdf\n'}
[0.221374] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/LeKiwi_converted.xacro\n'}
[0.221494] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/meshes\n'}
[0.221571] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/meshes/94868A713_NO-THREADS_Female-Threaded-Hex-Standoff.stl\n'}
[0.221670] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/meshes/STS3215_03a-v1-4.stl\n'}
[0.221725] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/meshes/94868A713_NO-THREADS_Female-Threaded-Hex-Standoff-1.stl\n'}
[0.221778] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/meshes/Moving_Jaw_08d-v1.stl\n'}
[0.221876] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/meshes/omni_wheel_mount-v5-2.stl\n'}
[0.221955] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/meshes/94868A713_NO-THREADS_Female-Threaded-Hex-Standoff-3.stl\n'}
[0.222031] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/meshes/WaveShare_Mounting_Plate_01d-v1.stl\n'}
[0.222127] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/meshes/Camera-Model-v3.stl\n'}
[0.222211] (lekiwi_description) StdoutLine: {'line': b'-- Up-to-date: /home/nam/Lekiwi_ws/install/lekiwi_description/share/lekiwi_description/urdf/meshes/omni_wheel_mount-v5.stl\n'}
